"","Sp","Pot_Area","Hab_Area","BAU_Area","Hab_perc","BAU_perc","Ext_015","Ext_025","Ext_035"
"70","Calliandra carana.asc",237924.342670083,166547.039869058,190339.474136067,0.7,0.8,0.0329175589317003,0.0542583909968242,0.0751282899812804
"71","Camarea humifusa",523433.553874184,416367.599672646,487744.902473671,0.795454545454545,0.931818181818182,0.0105367306888325,0.0174994660747391,0.0244132055195554
"72","Camarea linearifolia",428263.81680615,237924.342670083,380678.948272134,0.555555555555555,0.888888888888889,0.0175123009308117,0.0290164565853531,0.0403859076553494
"73","Cambessedesia atropurpurea",939801.15354683,701876.810876746,880320.067879309,0.746835443037975,0.936708860759494,0.00975947804271671,0.0162128239410778,0.0226241137203846
"74","Cambessedesia weddellii",142754.60560205,23792.4342670083,118962.171335042,0.166666666666667,0.833333333333333,0.026977656474902,0.0445572077956332,0.0618191501460312
"75","Canastra lanceolata",630499.508075721,261716.776937092,535329.771007688,0.415094339622642,0.849056603773585,0.0242456487754937,0.040081943470732,0.0556612183234663
"76","Ceradenia warmingii",11896.2171335042,0,0,0,0,1,1,1
"77","Cereus mirabella",3426110.5344492,1475130.92455452,1451338.49028751,0.430555555555556,0.423611111111111,0.120886192030845,0.193244684145876,0.259647461160428
"78","Chamaecrista cipoana",1665470.39869058,1070659.54201538,1546508.22735554,0.642857142857143,0.928571428571429,0.0110546392211529,0.018356423308627,0.0256042953672119
"79","Chamaecrista lagotois",1498923.35882153,1023074.67348136,1463234.70742101,0.682539682539683,0.976190476190476,0.00360810781604626,0.0060062776559634,0.0083986754511397
"80","Chamaecrista stillifera",2414932.07810135,1510819.57595503,2212696.38683178,0.625615763546798,0.916256157635468,0.0130332181603717,0.0216275236906096,0.0301469917603512
"81","Chamaecrista tephrosiifolia",1118244.41054939,630499.508075721,999282.239214351,0.563829787234043,0.893617021276596,0.0167301674938903,0.027727822637446,0.0386024714457536
"82","Chamaecrista ulmea",737565.462277259,392575.165405638,654291.94234273,0.532258064516129,0.887096774193548,0.017809679135419,0.0295062340644481,0.0410634988841149
"83","Chionolaena lychnophorioides",1153933.06194991,832735.199345292,1118244.41054939,0.721649484536082,0.969072164948454,0.00470134336036809,0.00782328660433085,0.0109354372804513
"84","Chresta souzae",3640242.44285228,2771818.59210647,3342837.01451467,0.761437908496732,0.918300653594771,0.0127031894952039,0.0210822048457797,0.0293901089585816
"85","Chromolaena arrayana",1260999.01615144,737565.462277259,1011178.45634785,0.584905660377359,0.80188679245283,0.0325757731468235,0.0537012528412152,0.0743654189981428
"86","Chromolaena costatipes",428263.81680615,237924.342670083,380678.948272134,0.555555555555555,0.888888888888889,0.0175123009308117,0.0290164565853531,0.0403859076553494
"87","Chronopappus bifrons",1153933.06194991,832735.199345292,1118244.41054939,0.721649484536082,0.969072164948454,0.00470134336036809,0.00782328660433085,0.0109354372804513
"88","Chrysolaena nicolackii",321197.862604613,59481.0856675209,214131.908403075,0.185185185185185,0.666666666666667,0.0590071768097505,0.0963979963901551,0.132303073088744
"89","Cinnamomum erythropus",1546508.22735554,1034970.89061486,1487027.14168802,0.669230769230769,0.961538461538462,0.00586583538596108,0.00975726425743462,0.0136334605584959
"90","Cinnamomum quadrangulum",1784432.57002563,1189621.71335042,1701159.0500911,0.666666666666667,0.953333333333333,0.00714296645328483,0.011876575999509,0.0165876172820467
"91","Cipocereus bradei",916008.719279821,582914.639541705,785150.330811276,0.636363636363636,0.857142857142857,0.0228573231920011,0.0378045418042385,0.0525231148465455
