,Sp,Pot_Area,Hab_Area,BAU_Area,,,,
205,Jacaranda intricata,1652386.679,107764.3486,59869.08257,0.48,,,
206,Janusia linearifolia,1089617.303,191581.0642,119738.1651,0.36,,,
207,Klotzschia rhizophylla,1939758.275,634612.2752,538821.7431,0.23,,,
208,Lafoensia nummularifolia,826193.3395,23947.63303,11973.81651,0.57,,,
209,Lagenocarpus bracteosus,1520674.697,478952.6606,407109.7615,0.23,,,
210,Lapanthus duartei,1724229.578,586717.0092,502900.2936,0.22,,,
211,Lavoisiera cordata,1903836.826,622638.4587,526847.9266,0.23,,,
212,Leiothrix echinocephala,1353041.266,323293.0459,263423.9633,0.28,,,
213,Lepidaploa spixiana,1496727.064,466978.844,395135.945,0.23,,,
214,Lessingianthus asteriflorus,754350.4404,23947.63303,11973.81651,0.56,,,
215,Lessingianthus eitenii,3316747.174,371188.3119,263423.9633,0.40,,,
216,Lessingianthus pumillus,826193.3395,59869.08257,11973.81651,0.57,,,
217,Lessingianthus rosmarinifolius,1496727.064,466978.844,395135.945,0.23,,,
218,Lessingianthus souzae,3568197.321,742376.6239,706455.1743,0.28,,,
219,Lessingianthus stoechas,6549677.633,1460805.615,1305146,0.28,,,
220,Lessingianthus venosissimus,3508328.239,502900.2936,395135.945,0.35,,,
221,Lessingianthus westermanii,131712,0,0,1.00,,,
222,Lessingianthus zuccarinianus,1628439.046,179607.2477,143685.7982,0.38,,,
223,Leucochloron foederale,2059496.44,287371.5963,215528.6972,0.36,,,
224,Lippia rhodocnemis,730402.8073,287371.5963,263423.9633,0.18,,,
225,Lithobium cordatum,1077643.486,395135.945,359214.4954,0.20,,,
226,Lomatozona artemisiifolia,550795.5596,59869.08257,23947.63303,0.47,,,
227,Lupinus decurrens,622638.4587,251450.1468,239476.3303,0.17,,,
228,Luxemburgia angustifolia,1724229.578,586717.0092,502900.2936,0.22,,,
229,Lychnophora gardneri,1029748.22,323293.0459,287371.5963,0.23,,,
230,Lychnophora humillima,227502.5138,107764.3486,107764.3486,0.14,,,
231,Lychnophora martiana,1580543.78,407109.7615,323293.0459,0.27,,,
232,Lychnophora mello-barretoi,1353041.266,431057.3945,395135.945,0.22,,,
233,Lychnophora ramosissima,1161460.202,371188.3119,335266.8624,0.22,,,
234,Lychnophora reticulata,47895.26606,11973.81651,11973.81651,0.24,,,
235,Lychnophora sellowii,2502527.651,730402.8073,610664.6422,0.25,,,
236,Lychnophora souzae,694481.3578,275397.7798,251450.1468,0.18,,,
237,Lychnophora syncephala,119738.1651,59869.08257,47895.26606,0.17,,,
238,Lychnophora villosissima,1233303.101,419083.578,359214.4954,0.22,,,
239,Lychnophoriopsis damazioi,1496727.064,466978.844,395135.945,0.23,,,
240,Lychnophoriopsis hatschbachii,1029748.22,323293.0459,287371.5963,0.23,,,
241,Manihot procumbens,1173434.018,47895.26606,0,1.00,,,
242,Marcetia hatschbachii,1089617.303,455005.0275,419083.578,0.17,,,
243,Marcetia semiriana,1580543.78,478952.6606,407109.7615,0.24,,,
244,Maytenus rupestris,1532648.514,490926.4771,419083.578,0.23,,,
245,Merremia repens,1173434.018,383162.1284,347240.6789,0.22,,,
246,Miconia angelana,466978.844,191581.0642,191581.0642,0.16,,,
247,Miconia cipoensis,1676334.312,502900.2936,419083.578,0.24,,,
248,Micranthocereus albicephalus,263423.9633,95790.53211,47895.26606,0.29,,,
249,Micranthocereus auriazureus,694481.3578,311319.2294,287371.5963,0.16,,,
250,Micranthocereus violaciflorus,574743.1927,227502.5138,203554.8807,0.19,,,
251,Microlicia canastrensis,1484753.248,251450.1468,239476.3303,0.31,,,
252,Microlicia flava,431057.3945,191581.0642,191581.0642,0.15,,,
253,Microlicia glazioviana,1484753.248,466978.844,395135.945,0.23,,,
254,Microlicia humilis,395135.945,23947.63303,0,1.00,,,
255,Microlicia macedoi,6334148.936,1101591.119,957905.3211,0.31,,,
256,Microlicia obtusifolia,1724229.578,586717.0092,502900.2936,0.22,,,
257,Microlicia psammophila,3568197.321,742376.6239,706455.1743,0.28,,,
258,Microtea papilosa,47895.26606,23947.63303,23947.63303,0.13,,,
259,Mikania cipoensis,2442658.569,718428.9908,598690.8257,0.25,,,
260,Mikania glauca,2215156.055,598690.8257,490926.4771,0.26,,,
261,Mikania itambana,1915810.642,598690.8257,502900.2936,0.23,,,
262,Mikania premnifolia,3077270.844,826193.3395,646586.0917,0.27,,,
263,Mimosa acroconica,119738.1651,11973.81651,0,1.00,,,
264,Mimosa adamantina,706455.1743,275397.7798,251450.1468,0.19,,,
265,Mimosa barretoi,1760151.028,514874.1101,431057.3945,0.25,,,
266,Mimosa bombycina,3388590.073,766324.2569,610664.6422,0.29,,,
267,Mimosa chrysastra,107764.3486,83816.7156,83816.7156,0.05,,,
268,Mimosa heringeri,1197381.651,287371.5963,251450.1468,0.27,,,
269,Mimosa leprosa,1796072.477,622638.4587,538821.7431,0.21,,,
270,Mimosa lithoreas,455005.0275,11973.81651,11973.81651,0.52,,,
271,Mimosa macedoana,2059496.44,634612.2752,550795.5596,0.23,,,
272,Mimosa montis-carasae,694481.3578,275397.7798,251450.1468,0.18,,,
273,Mimosa paucifolia,1963705.908,407109.7615,347240.6789,0.29,,,
274,Mimosa suburbana,155659.6147,23947.63303,11973.81651,0.40,,,
275,Mimosa uniceps,706455.1743,275397.7798,251450.1468,0.19,,,
276,Minaria bifurcata,778298.0734,191581.0642,167633.4312,0.26,,,
277,Minaria diamantinensis,778298.0734,191581.0642,167633.4312,0.26,,,
278,Minaria grazielae,1029748.22,323293.0459,287371.5963,0.23,,,
279,Minaria hemipogonoides,1173434.018,383162.1284,347240.6789,0.22,,,
280,Minaria inconspicua,874088.6055,323293.0459,311319.2294,0.19,,,
281,Minaria magisteriana,215528.6972,83816.7156,71842.89908,0.20,,,
282,Minaria polygaloides,1209355.468,407109.7615,371188.3119,0.21,,,
283,Minaria refractifolia,1113564.936,347240.6789,311319.2294,0.23,,,
284,Minaria semirii,1353041.266,431057.3945,395135.945,0.22,,,
285,Minasia alpestris,1149486.385,371188.3119,323293.0459,0.22,,,
286,Minasia pereirae,1532648.514,371188.3119,335266.8624,0.26,,,
287,Mitracarpus eritrichoides,658559.9083,71842.89908,23947.63303,0.48,,,
288,Moquiniastrum hatschbachii,1903836.826,622638.4587,526847.9266,0.23,,,
289,Ocellochloa brachystachya,107764.3486,11973.81651,11973.81651,0.36,,,
290,Oocephalus piranii,215528.6972,143685.7982,143685.7982,0.08,,,
291,Orthophytum humile,742376.6239,287371.5963,275397.7798,0.18,,,
292,Ossaea warmingiana,1508700.881,203554.8807,131711.9817,0.39,,,
293,Ouratea hatschbachii,742376.6239,287371.5963,275397.7798,0.18,,,
294,Oxalis diamantinae,694481.3578,275397.7798,251450.1468,0.18,,,
295,Oxypetalum ekblomii,1209355.468,287371.5963,263423.9633,0.26,,,
296,Paepalanthus ater,143685.7982,59869.08257,59869.08257,0.16,,,
297,Pavonia grazielae,1089617.303,455005.0275,419083.578,0.17,,,
298,Pecluma hoehnii,766324.2569,83816.7156,47895.26606,0.43,,,
299,Peixotoa andersonii,107764.3486,35921.44954,35921.44954,0.20,,,
300,Peixotoa bahiana,2801873.064,419083.578,191581.0642,0.42,,,
301,Peixotoa barnebyi,1197381.651,335266.8624,311319.2294,0.24,,,
302,Peixotoa cipoana,1616465.229,502900.2936,431057.3945,0.23,,,
303,Peixotoa psilophylla,1005800.587,287371.5963,227502.5138,0.26,,,
304,Pellaea cymbiformis,119738,0,0,1.00,,,
305,Pellaea gleichenioides,1017774.404,347240.6789,311319.2294,0.21,,,
306,Persea pedunculosa,143685.7982,35921.44954,35921.44954,0.24,,,
307,Pfaffia argyrea,215528.6972,143685.7982,143685.7982,0.08,,,
308,Pfaffia minarum,598690.8257,119738.1651,95790.53211,0.31,,,
309,Phragmipedium vittatum,2418710.936,634612.2752,574743.1927,0.25,,,
310,Pilosocereus aurisetus_subsp._aurilanatus,179607.2477,59869.08257,35921.44954,0.28,,,
311,Piptolepis buxoides,1496727.064,466978.844,395135.945,0.23,,,
312,Piptolepis imbricata,71842.89908,47895.26606,47895.26606,0.08,,,
313,Piptolepis leptospermoides,622638.4587,251450.1468,239476.3303,0.17,,,
314,Pitcairnia bradei,742376.6239,287371.5963,275397.7798,0.18,,,
315,Podocarpus barretoi,502900.2936,107764.3486,107764.3486,0.27,,,
316,Podocarpus brasiliensis,1412910.349,335266.8624,299345.4128,0.27,,,
317,Polygala franchetii,921983.8716,143685.7982,107764.3486,0.35,,,
318,Pombalia strigoides,1281198.367,299345.4128,299345.4128,0.25,,,
319,Pseudolaelia cipoensis,1508700.881,478952.6606,407109.7615,0.23,,,
320,Pseudolycopodiella benjaminiana,4047149.982,730402.8073,538821.7431,0.33,,,
321,Pseudotrimezia brevistamina,1496727.064,466978.844,395135.945,0.23,,,
322,Pseudotrimezia concava,658559.9083,215528.6972,203554.8807,0.21,,,
323,Pseudotrimezia gracilis,1508700.881,478952.6606,407109.7615,0.23,,,
324,Pseudotrimezia synandra,838167.156,275397.7798,251450.1468,0.21,,,
325,Pseudotrimezia tenuissima,1353041.266,490926.4771,455005.0275,0.20,,,
326,Richterago angustifolia,2825820.697,874088.6055,742376.6239,0.23,,,
327,Richterago arenaria,2442658.569,718428.9908,598690.8257,0.25,,,
328,Richterago lanata,1508700.881,478952.6606,407109.7615,0.23,,,
329,Richterago riparia,1951732.092,526847.9266,419083.578,0.26,,,
330,Richterago stenophylla,1520674.697,478952.6606,407109.7615,0.23,,,
331,Schefflera gardneri,634612.2752,59869.08257,35921.44954,0.44,,,
332,Schefflera glaziovii,1628439.046,490926.4771,419083.578,0.24,,,
333,Schinopsis balansae,1520674.697,694481.3578,610664.6422,0.17,,,
334,Scuticaria irwiniana,1484753.248,466978.844,395135.945,0.23,,,
335,Scuticaria itirapinensis,131711.9817,11973.81651,0,1.00,,,
336,Senaea coerulea,694481.3578,275397.7798,251450.1468,0.18,,,
337,Simaba salubris,1221329.284,155659.6147,131711.9817,0.36,,,
338,Simaba suaveolens,59869.08257,23947.63303,0,1.00,,,
339,Simaba warmingiana,957905.3211,119738.1651,95790.53211,0.37,,,
340,Sinningia araneosa,227502.5138,59869.08257,0,1.00,,,
341,Sphaerorrhiza burchellii,251450.1468,11973.81651,11973.81651,0.46,,,
342,Spigelia aceifolia,2442658.569,718428.9908,598690.8257,0.25,,,
343,Spigelia cipoensis,155659.6147,71842.89908,71842.89908,0.14,,,
344,Sporobolus apiculatus,4466233.56,550795.5596,359214.4954,0.40,,,
345,Staurogyne elegans,1520674.697,478952.6606,407109.7615,0.23,,,
346,Stenandrium hatschbachii,826193.3395,287371.5963,275397.7798,0.20,,,
347,Stenandrium stenophyllum,215528.6972,131711.9817,131711.9817,0.09,,,
348,Stevia hilarii,431057.3945,191581.0642,191581.0642,0.15,,,
349,Stevia leptophylla,478953,0,0,1.00,,,
350,Stigmaphyllon harleyi,59869.08257,11973.81651,11973.81651,0.28,,,
351,Strophopappus ferrugineus,3053323.211,490926.4771,407109.7615,0.33,,,
352,Svitramia integerrima,287371.5963,95790.53211,95790.53211,0.20,,,
353,Svitramia minor,466978.844,191581.0642,191581.0642,0.16,,,
354,Svitramia wurdackiana,538821.7431,203554.8807,203554.8807,0.18,,,
355,Syagrus glaucescens,850140.9725,323293.0459,275397.7798,0.20,,,
356,Syagrus mendanhensis,706455.1743,287371.5963,263423.9633,0.18,,,
357,Symphyopappus uncinatus,838167.156,275397.7798,251450.1468,0.21,,,
358,Talisia subalbens,3604118.771,634612.2752,466978.844,0.34,,,
359,Thryallis laburnum,1065669.67,383162.1284,263423.9633,0.24,,,
360,Thryallis parviflora,1604491.413,203554.8807,143685.7982,0.38,,,
361,Tibouchina bergiana,466978.844,191581.0642,191581.0642,0.16,,,
362,Trembleya calycina,1484753.248,466978.844,395135.945,0.23,,,
363,Trembleya chamissoana,1269224.55,419083.578,383162.1284,0.21,,,
364,Trembleya pityoides,1161460.202,371188.3119,335266.8624,0.22,,,
365,Trimezia exillima,945931.5046,299345.4128,263423.9633,0.23,,,
366,Trimezia fistulosa,1209355.468,407109.7615,371188.3119,0.21,,,
367,Trimezia fistulosa_var._longifolia,1508700.881,478952.6606,407109.7615,0.23,,,
368,Triraphis devia,3568197.321,742376.6239,706455.1743,0.28,,,
369,Uebelmannia buiningii,215528.6972,71842.89908,71842.89908,0.20,,,
370,Uebelmannia gummifera,227502.5138,71842.89908,71842.89908,0.21,,,
